VideoID,Vote1,Vote2,Vote3,Vote4,Vote5,Vote6,Vote7,Vote8,Vote9,Vote10,Vote11,Vote12,Vote13,Vote14,Vote15,Vote16,Vote17,Vote18,Vote19,Vote20,StdDev,Mode,GA
13_04_00,4,3,3,3,3,2,1,2,4,2,3,1,4,3,4,3,4,3,3,2,0.90967026993301270,3,2
28_01_01,4,3,3,4,4,2,3,4,2,2,3,4,4,3,4,4,3,3,3,2,0.74833147735478833,3,3
17_02_01,2,4,2,4,2,2,2,2,4,2,2,3,1,1,2,2,3,3,2,3,0.86023252670426265,2,2
18_01_00,4,2,3,1,3,1,3,2,1,2,1,2,2,2,2,2,1,1,1,2,0.83066238629180755,2,3
18_01_02,3,2,3,2,2,1,1,2,1,2,1,3,1,1,2,1,2,3,1,2,0.74833147735478822,1,2
26_00_00,2,3,3,4,2,2,1,1,1,2,1,2,4,1,3,1,1,2,2,1,0.97339611669658921,1,1
13_05_00,2,1,2,4,3,1,1,1,3,1,2,3,1,3,2,3,2,2,2,2,0.86458082328952890,2,3
13_07_00,3,2,3,2,4,2,4,3,3,2,3,3,3,3,3,2,4,2,3,4,0.69999999999999996,3,2
10_02_02,2,2,1,1,1,2,1,4,1,1,1,4,1,2,3,1,1,1,4,1,1.08972473588516849,1,1
16_01_01,4,2,3,3,4,3,4,4,4,3,4,4,3,3,3,3,3,3,3,4,0.57227615711297997,3,4
16_00_09,3,1,3,1,2,1,1,3,2,2,1,2,1,2,3,2,2,2,1,2,0.72629195231669763,2,1
16_00_08,3,4,3,2,2,3,4,4,4,3,4,3,2,3,2,4,3,4,2,3,0.76811457478686085,3,2
16_00_13,4,2,3,4,2,1,3,1,3,4,3,1,1,4,4,1,2,3,4,2,1.15758369027902264,4,2
16_00_11,1,3,2,1,4,1,2,2,1,2,1,1,2,2,3,1,1,2,1,2,0.82915619758884995,1,1
27_01_01,4,2,2,4,4,4,4,3,1,2,3,3,3,3,3,4,3,3,3,2,0.83666002653407556,3,1
18_01_03,4,1,3,1,2,2,3,3,2,3,4,1,2,1,2,2,3,2,1,1,0.96306801421291122,2,1
24_03_03,2,1,3,3,4,4,4,3,4,4,4,2,3,3,3,4,3,3,4,3,0.81240384046359626,3,3
25_01_00,3,4,4,4,2,2,1,4,4,3,3,2,3,4,4,1,4,3,3,3,0.97339611669658921,4,2
12_01_00,4,1,3,1,2,1,1,2,2,2,1,3,1,1,2,1,1,3,2,1,0.88741196746494244,1,2
25_05_06,2,2,1,3,2,2,2,1,2,2,2,2,2,2,2,2,3,2,1,2,0.49749371855330993,2,1
23_00_06,3,1,3,1,1,1,3,3,1,2,1,1,1,4,2,2,2,3,2,2,0.92059763197609845,1,1
28_01_02,4,3,2,4,4,4,2,3,4,3,4,4,3,3,4,4,3,3,3,3,0.65383484153110105,3,2
24_03_01,3,2,2,2,3,3,2,4,4,3,3,1,1,2,3,1,1,1,1,2,0.97979589711327142,1,2
25_00_31,4,2,3,4,4,4,4,4,4,4,4,3,2,4,4,3,4,4,1,4,0.86602540378443860,4,3
16_00_12,4,2,2,2,4,1,2,2,4,3,2,3,4,2,4,3,2,2,3,2,0.90967026993301259,2,3
